model,dataset,grits_top,grits_con
InternVL3.5-14B,feverous,0.9861,0.9409
InternVL3.5-14B,hybridqa,0.9919,0.9444
InternVL3.5-14B,sqa,0.9937,0.9568
InternVL3.5-14B,tabfact,0.9979,0.9717
InternVL3.5-14B,wikitq,0.9225,0.8654
InternVL3.5-30B-A3B,feverous,0.9859,0.9329
InternVL3.5-30B-A3B,hybridqa,0.9907,0.9476
InternVL3.5-30B-A3B,sqa,0.9944,0.9652
InternVL3.5-30B-A3B,tabfact,0.9977,0.9788
InternVL3.5-30B-A3B,wikitq,0.9167,0.8589
Qwen3-VL-30B-A3B-Instruct,feverous,0.9792,0.9349
Qwen3-VL-30B-A3B-Instruct,hybridqa,0.9779,0.9617
Qwen3-VL-30B-A3B-Instruct,sqa,0.9843,0.9661
Qwen3-VL-30B-A3B-Instruct,tabfact,0.9917,0.9813
Qwen3-VL-30B-A3B-Instruct,wikitq,0.9203,0.8958
Qwen3-VL-8B-Instruct,feverous,0.9944,0.9477
Qwen3-VL-8B-Instruct,hybridqa,0.9972,0.9828
Qwen3-VL-8B-Instruct,sqa,0.9967,0.9825
Qwen3-VL-8B-Instruct,tabfact,0.998,0.9892
Qwen3-VL-8B-Instruct,wikitq,0.9388,0.9064
SmolVLM2-2.2B-Instruct,feverous,0.7779,0.63
SmolVLM2-2.2B-Instruct,hybridqa,0.8536,0.7305
SmolVLM2-2.2B-Instruct,sqa,0.8557,0.7448
SmolVLM2-2.2B-Instruct,tabfact,0.8143,0.7208
SmolVLM2-2.2B-Instruct,wikitq,0.6601,0.5343
gemini-3-flash-preview,feverous,0.7292,0.7154
gemini-3-flash-preview,hybridqa,0.7102,0.7056
gemini-3-flash-preview,sqa,0.7463,0.7359
gemini-3-flash-preview,tabfact,0.7303,0.7288
gemini-3-flash-preview,wikitq,0.5715,0.5525
gemma_3-12B-IT,feverous,0.944,0.767
gemma_3-12B-IT,hybridqa,0.9568,0.8022
gemma_3-12B-IT,sqa,0.967,0.8614
gemma_3-12B-IT,tabfact,0.9693,0.8431
gemma_3-12B-IT,wikitq,0.8728,0.6764
gemma_3-27B-IT,feverous,0.9734,0.819
gemma_3-27B-IT,hybridqa,0.977,0.8606
gemma_3-27B-IT,sqa,0.9852,0.9084
gemma_3-27B-IT,tabfact,0.9867,0.903
gemma_3-27B-IT,wikitq,0.9049,0.7273
gpt-5.2,feverous,0.9718,0.9213
gpt-5.2,hybridqa,0.979,0.9437
gpt-5.2,sqa,0.9797,0.9557
gpt-5.2,tabfact,0.9834,0.973
gpt-5.2,wikitq,0.8871,0.8479
llava_1.6-vicuna-13B,feverous,0.5854,0.384
llava_1.6-vicuna-13B,hybridqa,0.5504,0.3898
llava_1.6-vicuna-13B,sqa,0.5995,0.4452
llava_1.6-vicuna-13B,tabfact,0.6075,0.4141
llava_1.6-vicuna-13B,wikitq,0.4705,0.2915
llava_1.6-vicuna-7B,feverous,0.4734,0.2934
llava_1.6-vicuna-7B,hybridqa,0.4143,0.2628
llava_1.6-vicuna-7B,sqa,0.5128,0.3524
llava_1.6-vicuna-7B,tabfact,0.4758,0.3035
llava_1.6-vicuna-7B,wikitq,0.4076,0.2287
ministral_3-14B-Instruct,feverous,0.9591,0.9052
ministral_3-14B-Instruct,hybridqa,0.9494,0.8909
ministral_3-14B-Instruct,sqa,0.9831,0.9391
ministral_3-14B-Instruct,tabfact,0.9925,0.9661
ministral_3-14B-Instruct,wikitq,0.8989,0.8322
table-llava-v1.5-7b-hf,feverous,0.6713,0.3413
table-llava-v1.5-7b-hf,hybridqa,0.6677,0.3289
table-llava-v1.5-7b-hf,sqa,0.671,0.3595
table-llava-v1.5-7b-hf,tabfact,0.7073,0.3947
table-llava-v1.5-7b-hf,wikitq,0.6129,0.31
