pipeline,model,html_acc,latex_acc,markdown_acc
VLM,InternVL3.5-14B,48.57,48.14,48.00
VLM,InternVL3.5-30B-A3B,47.86,50.00,48.29
VLM,Qwen3-VL-30B-A3B-Instruct,41.14,42.14,41.43
VLM,Qwen3-VL-8B-Instruct,50.29,49.29,49.71
VLM,Qwen3.5-27B,N/A,N/A,N/A
VLM,SmolVLM2-2.2B-Instruct,29.71,28.71,25.86
VLM,gemini-3-flash-preview,65.43,65.14,65.43
VLM,gemma_3-12B-IT,38.86,39.57,38.57
VLM,gemma_3-27B-IT,46.14,45.29,45.43
VLM,gpt-5.2,54.57,54.52,56.14
VLM,llava_1.6-vicuna-13B,25.14,23.71,25.00
VLM,llava_1.6-vicuna-7B,31.86,31.43,32.00
VLM,ministral_3-14B-Instruct,44.43,39.14,42.71
VLM,table-llava-v1.5-7b-hf,1.29,1.00,4.00

VLM-TEXT,InternVL3.5-14B,46.29,45.86,44.29
VLM-TEXT,InternVL3.5-30B-A3B,45.86,45.43,47.00
VLM-TEXT,Qwen3-VL-30B-A3B-Instruct,45.29,43.57,39.71
VLM-TEXT,Qwen3-VL-8B-Instruct,53.43,52.14,53.29
VLM-TEXT,SmolVLM2-2.2B-Instruct,21.57,17.63,15.75
VLM-TEXT,gemini-3-flash-preview,65.71,65.00,65.43
VLM-TEXT,gemma_3-12B-IT,50.29,49.00,48.57
VLM-TEXT,gemma_3-27B-IT,53.43,51.29,53.14
VLM-TEXT,gpt-5.2,57.43,57.29,58.00
VLM-TEXT,llava_1.6-vicuna-13B,23.91,22.13,24.89
VLM-TEXT,llava_1.6-vicuna-7B,27.37,29.55,26.50
VLM-TEXT,ministral_3-14B-Instruct,40.00,35.43,36.57
VLM-TEXT,table-llava-v1.5-7b-hf,23.61,27.37,28.40

LLM,Qwen2.5-7B-Instruct,44.57,42.71,45.43
LLM,Qwen3-30B-A3B-Instruct-2507,51.14,48.43,46.57
LLM,TAMA-QWen3,21.14,21.14,21.14
LLM,TableGPT2-7B,44.43,41.57,42.14
