pipeline,model,easy_acc,hard_acc,gap
VLM,gemini-3-flash-preview,97.33,33.23,-64.10
VLM,gpt-5.2,93.14,16.91,-76.23
VLM,Qwen3-VL-8B-Instruct,73.62,25.90,-47.72
VLM,InternVL3.5-30B-A3B,68.29,29.14,-39.15
VLM,InternVL3.5-14B,67.33,29.14,-38.19
VLM,gemma_3-27B-IT,63.24,28.00,-35.24
VLM,ministral_3-14B-Instruct,61.24,22.95,-38.29
VLM,Qwen3-VL-30B-A3B-Instruct,63.71,19.43,-44.28
VLM,gemma_3-12B-IT,54.00,24.00,-30.00
VLM,llava_1.6-vicuna-7B,35.62,27.90,-7.72
VLM,SmolVLM2-2.2B-Instruct,37.81,18.38,-19.43
VLM,llava_1.6-vicuna-13B,31.91,17.33,-14.58
VLM,table-llava-v1.5-7b-hf,2.86,1.33,-1.53
VLM,Qwen3.5-27B,,,
,,,,
VLM-TEXT,gemini-3-flash-preview,95.72,35.05,-60.67
VLM-TEXT,gpt-5.2,91.43,23.71,-67.72
VLM-TEXT,Qwen3-VL-8B-Instruct,73.33,32.57,-40.76
VLM-TEXT,gemma_3-27B-IT,74.19,31.05,-43.14
VLM-TEXT,gemma_3-12B-IT,67.14,31.43,-35.71
VLM-TEXT,InternVL3.5-30B-A3B,63.52,28.67,-34.85
VLM-TEXT,InternVL3.5-14B,64.95,26.00,-38.95
VLM-TEXT,Qwen3-VL-30B-A3B-Instruct,60.09,25.62,-34.47
VLM-TEXT,ministral_3-14B-Instruct,54.67,20.00,-34.67
VLM-TEXT,llava_1.6-vicuna-7B,30.10,25.43,-4.67
VLM-TEXT,table-llava-v1.5-7b-hf,31.14,21.62,-9.52
VLM-TEXT,llava_1.6-vicuna-13B,25.87,21.33,-4.54
VLM-TEXT,SmolVLM2-2.2B-Instruct,17.85,18.80,0.95
,,,,
LLM,Qwen3-30B-A3B-Instruct-2507,65.90,31.53,-34.37
LLM,Qwen2.5-7B-Instruct,63.05,25.43,-37.62
LLM,TableGPT2-7B,55.81,29.62,-26.19
LLM,TAMA-QWen3,22.00,20.29,-1.71
,,,,
