pipeline,model,wikitq,hybridqa,sqa,tabfact,feverous
VLM,gemini-3-flash-preview,75.08,63.29,55.42,70.7,56.14
VLM,gpt-5.2,70.78,41.89,48.62,59.41,46.93
VLM,Qwen3-VL-8B-Instruct,53.5,27.25,43.74,72.31,59.65
VLM,InternVL3.5-30B-A3B,50.94,28.6,34.18,78.23,64.03
VLM,InternVL3.5-14B,48.38,31.76,36.73,73.92,61.84
VLM,gemma_3-27B-IT,40.68,29.06,34.82,74.19,66.23
VLM,ministral_3-14B-Instruct,47.87,27.48,33.54,51.61,57.89
VLM,Qwen3-VL-30B-A3B-Instruct,45.3,17.12,36.73,61.83,56.58
VLM,gemma_3-12B-IT,32.99,22.07,30.36,67.48,58.77
VLM,llava_1.6-vicuna-7B,16.24,9.01,11.67,92.74,57.89
VLM,SmolVLM2-2.2B-Instruct,27.86,15.54,23.99,37.9,45.61
VLM,llava_1.6-vicuna-13B,20.0,8.78,16.14,48.92,45.17
VLM,table-llava-v1.5-7b-hf,4.61,0.23,1.28,2.15,0.88
VLM,Qwen3.5-27B,,,,,
,,,,,,
VLM-TEXT,gemini-3-flash-preview,74.53,64.41,53.93,72.04,56.58
VLM-TEXT,gpt-5.2,75.38,37.84,52.87,63.17,50.88
VLM-TEXT,Qwen3-VL-8B-Instruct,54.7,25.22,51.38,79.3,62.72
VLM-TEXT,gemma_3-27B-IT,52.48,31.53,49.04,77.96,60.09
VLM-TEXT,gemma_3-12B-IT,42.91,32.88,47.13,75.27,59.65
VLM-TEXT,InternVL3.5-30B-A3B,52.3,26.13,28.45,72.58,62.28
VLM-TEXT,InternVL3.5-14B,53.16,29.73,28.66,63.98,60.96
VLM-TEXT,Qwen3-VL-30B-A3B-Instruct,41.88,17.34,31.85,74.19,66.67
VLM-TEXT,ministral_3-14B-Instruct,46.16,23.2,29.09,41.4,52.63
VLM-TEXT,llava_1.6-vicuna-7B,10.98,2.93,7.85,89.47,56.94
VLM-TEXT,table-llava-v1.5-7b-hf,12.76,6.53,13.37,71.65,51.07
VLM-TEXT,llava_1.6-vicuna-13B,8.39,4.5,5.31,75.65,50.25
VLM-TEXT,SmolVLM2-2.2B-Instruct,1.26,0.0,0.64,71.5,45.4
,,,,,,
LLM,Qwen3-30B-A3B-Instruct-2507,46.49,21.85,41.19,80.64,70.18
LLM,Qwen2.5-7B-Instruct,45.3,24.32,44.38,59.41,55.26
LLM,TableGPT2-7B,38.97,17.57,33.33,79.03,61.41
LLM,TAMA-QWen3,0.0,0.0,0.0,87.37,52.19
,,,,,,
