prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
original,VLM,InternVL3.5-14B,html,table_partition,222,629,35.3,66.6,68.0
original,VLM,InternVL3.5-14B,html,table_first_cell,546,629,86.8,86.8,86.8
original,VLM,InternVL3.5-14B,html,table_last_cell,430,629,68.4,68.4,68.4
original,VLM,InternVL3.5-14B,html,size_detection,140,629,22.3,46.7,48.9
original,VLM,InternVL3.5-14B,html,number_of_rows,348,629,55.3,55.3,55.3
original,VLM,InternVL3.5-14B,html,number_of_columns,565,629,89.8,89.8,89.8
original,VLM,InternVL3.5-14B,html,cell_lookup,98,629,15.6,45.2,45.7
original,VLM,InternVL3.5-14B,html,reverse_lookup,100,629,15.9,15.7,15.7
original,VLM,InternVL3.5-14B,html,column_retrieval,532,629,84.6,84.6,84.6
original,VLM,InternVL3.5-14B,html,row_retrieval,26,629,4.1,16.2,19.7
original,VLM,InternVL3.5-14B,html,OVERALL,3007,6290,47.8,57.5,58.3
original,VLM,InternVL3.5-14B,markdown,table_partition,199,629,31.6,62.9,64.4
original,VLM,InternVL3.5-14B,markdown,table_first_cell,522,629,83.0,83.0,83.1
original,VLM,InternVL3.5-14B,markdown,table_last_cell,411,629,65.3,65.3,65.5
original,VLM,InternVL3.5-14B,markdown,size_detection,203,629,32.3,60.9,61.8
original,VLM,InternVL3.5-14B,markdown,number_of_rows,321,629,51.0,51.0,51.0
original,VLM,InternVL3.5-14B,markdown,number_of_columns,545,629,86.6,86.6,86.6
original,VLM,InternVL3.5-14B,markdown,cell_lookup,128,629,20.3,51.7,51.9
original,VLM,InternVL3.5-14B,markdown,reverse_lookup,148,629,23.5,23.5,23.7
original,VLM,InternVL3.5-14B,markdown,column_retrieval,559,629,88.9,88.9,88.9
original,VLM,InternVL3.5-14B,markdown,row_retrieval,34,629,5.4,17.7,20.9
original,VLM,InternVL3.5-14B,markdown,OVERALL,3070,6290,48.8,59.2,59.8
original,VLM,InternVL3.5-14B,latex,table_partition,239,629,38.0,67.9,69.3
original,VLM,InternVL3.5-14B,latex,table_first_cell,557,629,88.6,88.6,88.6
original,VLM,InternVL3.5-14B,latex,table_last_cell,452,629,71.9,71.9,71.9
original,VLM,InternVL3.5-14B,latex,size_detection,103,629,16.4,52.0,53.3
original,VLM,InternVL3.5-14B,latex,number_of_rows,180,629,28.6,28.6,28.6
original,VLM,InternVL3.5-14B,latex,number_of_columns,523,629,83.1,83.1,83.1
original,VLM,InternVL3.5-14B,latex,cell_lookup,119,629,18.9,48.6,48.8
original,VLM,InternVL3.5-14B,latex,reverse_lookup,143,629,22.7,22.7,23.1
original,VLM,InternVL3.5-14B,latex,column_retrieval,567,629,90.1,90.0,90.1
original,VLM,InternVL3.5-14B,latex,row_retrieval,40,629,6.4,17.3,21.2
original,VLM,InternVL3.5-14B,latex,OVERALL,2923,6290,46.5,57.1,57.8
original,VLM,InternVL3.5-30B-A3B,html,table_partition,0,629,0.0,53.8,58.3
original,VLM,InternVL3.5-30B-A3B,html,table_first_cell,559,629,88.9,88.9,88.9
original,VLM,InternVL3.5-30B-A3B,html,table_last_cell,497,629,79.0,79.0,79.0
original,VLM,InternVL3.5-30B-A3B,html,size_detection,55,629,8.7,54.4,55.1
